WMO_ID,Latitude,Longitude,Elevation,File
022650-99999,63.65,18.55,183,02265099999.csv
022670-99999,63.408,18.99,107.9,02267099999.csv
022690-99999,63.183,19.017,11,02269099999.csv
022710-99999,64.933,19.383,310,02271099999.csv
022820-99999,64.567,19.7,258,02282099999.csv
022840-99999,63.433,19.683,7,02284099999.csv
022860-99999,63.792,20.283,7.3,02286099999.csv
022870-99999,63.8,20.867,8,02287099999.csv
022880-99999,63.6,20.75,6,02288099999.csv
022930-99999,64.625,21.077,47.9,02293099999.csv
022960-99999,64.483,21.583,36,02296099999.csv
022970-99999,64.483,21.583,43,02297099999.csv
023060-99999,61.133,12.817,465,02306099999.csv
023070-99999,61.883,12.85,869,02307099999.csv
023080-99999,62.45,12.667,724,02308099999.csv
023100-99999,62.8,13.067,583,02310099999.csv
023160-99999,61.7,13.183,425,02316099999.csv
023170-99999,62.1,13.617,566,02317099999.csv
023190-99999,62.75,13.85,467,02319099999.csv
023210-99999,61.25,14.033,253,02321099999.csv
023240-99999,62.017,14.183,363,02324099999.csv
023250-99999,62.5,14.15,803,02325099999.csv
023260-99999,64.083,18.417,300,02326099999.csv
023290-99999,61.667,15,455,02329099999.csv
023310-99999,62.75,15.083,343,02331099999.csv
023370-99999,62.267,15.667,320,02337099999.csv
023380-99999,61.367,15.717,185,02338099999.csv
023420-99999,62.517,16.183,105,02342099999.csv
023430-99999,62.5,16.283,100,02343099999.csv
023470-99999,61.833,16.55,72,02347099999.csv
023550-99999,61.7,17.533,10,02355099999.csv
023660-99999,62.528,17.444,4.9,02366099999.csv
023680-99999,62.217,17.75,18,02368099999.csv
023760-99999,61.267,17.1,36,02376099999.csv
023820-99999,62.65,18.1,18,02382099999.csv
024000-99999,60.35,12.65,310,02400099999.csv
024030-99999,58.7,13.117,53,02403099999.csv
024040-99999,59.667,12.583,75,02404099999.csv
024060-99999,59.283,12.05,110,02406099999.csv
024080-99999,59.217,12.083,171,02408099999.csv
024100-99999,60.683,13.7,308,02410099999.csv
024120-99999,60.15,13.8,190,02412099999.csv
024180-99999,59.445,13.337,107.3,02418099999.csv
024230-99999,59.867,13.117,109,02423099999.csv
024280-99999,59.1,14.367,105,02428099999.csv
024283-99999,59.224,15.038,57.3,02428399999.csv
024290-99999,59.667,14.183,133,02429099999.csv
024350-99999,60.422,15.515,153.3,02435099999.csv
024400-99999,60.967,16.433,162,02440099999.csv
024410-99999,60.967,14.5,197,02441099999.csv
024430-99999,59.65,17.117,26,02443099999.csv
024440-99999,60.167,16.317,70,02444099999.csv
024460-99999,59.589,16.634,6.4,02446099999.csv
024490-99999,59.383,16.45,15,02449099999.csv
024500-99999,60.733,17.567,4,02450099999.csv
024520-99999,59.3,14.9,219,02452099999.csv
024530-99999,60.717,17.167,16,02453099999.csv
024560-99999,60.233,17.9,35,02456099999.csv
024580-99999,59.897,17.589,20.7,02458099999.csv
024600-99999,59.652,17.919,41.8,02460099999.csv
024640-99999,59.354,17.942,14.3,02464099999.csv
024680-99999,60.383,15.133,493,02468099999.csv
024690-99999,59.183,17.917,54,02469099999.csv
024740-99999,60.167,18.75,14,02474099999.csv
024760-99999,59.05,16.4,33,02476099999.csv
024810-99999,59.917,16.683,58,02481099999.csv
024820-99999,60.267,16.983,57,02482099999.csv
024840-99999,59.35,18.067,44,02484099999.csv
024853-99999,58.789,16.912,42.7,02485399999.csv
024860-99999,59.367,17.517,6,02486099999.csv
024870-99999,59.35,18.733,22,02487099999.csv
024880-99999,60.533,18.383,9,02488099999.csv
024890-99999,59.067,18.117,3,02489099999.csv
024900-99999,59.833,18.633,16,02490099999.csv
024930-99999,59.75,19.417,15,02493099999.csv
024960-99999,59.45,19.5,12,02496099999.csv
025000-99999,58.9,11,35,02500099999.csv
025050-99999,58.1,11.333,16,02505099999.csv
025080-99999,58.1,11.35,14,02508099999.csv
025103-99999,58.318,12.345,41.8,02510399999.csv
025120-99999,57.775,11.87,18,02512099999.csv
025130-99999,57.717,12,2,02513099999.csv
025160-99999,57.633,11.617,19,02516099999.csv
025180-99999,57.3,11.9,2,02518099999.csv
025200-99999,58.426,12.714,55.2,02520099999.csv
025240-99999,57.933,13.067,190,02524099999.csv
025260-99999,57.663,12.28,154.2,02526099999.csv
025300-99999,58.9,13.25,50,02530099999.csv
025350-99999,58.456,13.973,98.8,02535099999.csv
025360-99999,57.783,13.167,299,02536099999.csv
025390-99999,57.117,12.783,122,02539099999.csv
025400-99999,58.6,12.2,174,02540099999.csv
025420-99999,58.317,13.033,71,02542099999.csv
025440-99999,58.517,14.517,94,02544099999.csv
025460-99999,58.883,14.383,212,02546099999.csv
025480-99999,58.1,14.417,95,02548099999.csv
025490-99999,57.5,14.467,356,02549099999.csv
025500-99999,57.758,14.069,225.9,02550099999.csv
025520-99999,58.067,15.233,197,02552099999.csv
025540-99999,58.717,15.033,225,02554099999.csv
025550-99999,57.65,14.7,305,02555099999.csv
025560-99999,57.292,14.137,169.5,02556099999.csv
025570-99999,57.883,15.867,91,02557099999.csv
025580-99999,58.683,16.317,155,02558099999.csv
025620-99999,58.402,15.526,93.9,02562099999.csv
025625-99999,58.406,15.681,52.4,02562599999.csv
025630-99999,58.25,17.017,18,02563099999.csv
025635-99999,56.283,12.833,47,02563599999.csv
